,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,0050,元大台灣50,"15,371,288","18,846","2,288,127,587",149.00,149.65,148.25,148.50,-,1.8,148.50,46,148.55,5,0.00
1,0051,元大中型100,"31,101",114,"1,875,651",60.30,60.30,60.15,60.20,-,0.4,60.10,1,60.20,3,0.00
2,0052,富邦科技,"360,370",350,"49,290,380",136.00,137.90,136.00,136.70,-,1.45,136.60,10,136.70,32,0.00
3,0053,元大電子,"5,537",16,"391,015",70.75,70.75,70.15,70.60,-,0.9,70.50,2,70.70,1,0.00
4,0054,元大台商50,96,1,"2,997",--,--,--,--, ,0.0,30.98,23,31.20,61,0.00
5,0055,元大MSCI金融,"2,081,376","1,697","53,941,763",25.96,26.03,25.83,25.88,-,0.14,25.88,22,25.89,1,0.00
6,0056,元大高股息,"17,417,032","12,326","579,694,741",33.25,33.39,33.16,33.21,-,0.24,33.21,214,33.22,122,0.00
7,0057,富邦摩台,"2,166",6,"220,398",102.00,102.00,101.50,101.50,-,1.7,101.35,10,101.50,1,0.00
8,0061,元大寶滬深,"251,000",108,"5,569,110",22.34,22.35,22.10,22.10,-,0.27,22.10,37,22.15,1,0.00
9,006203,元大MSCI台灣,"7,321",17,"519,552",71.00,71.00,70.60,70.60,-,1.4,70.60,1,70.90,35,0.00
10,006204,永豐臺灣加權,"21,113",12,"1,923,427",91.25,91.45,91.05,91.05,-,0.95,90.95,50,91.10,10,0.00
11,006205,富邦上証,"3,411,541","2,700","123,759,892",36.19,36.44,36.19,36.22,-,0.03,36.22,1,36.24,4,0.00
12,006206,元大上證50,"431,641",387,"15,120,707",34.95,35.10,34.95,34.99,+,0.06,34.99,9,35.04,55,0.00
13,006207,FH滬深,"13,001",10,"380,589",29.27,29.47,29.20,29.20,-,0.09,29.17,1,29.19,20,0.00
14,006208,富邦台50,"3,637,379","5,734","304,160,906",83.70,84.10,83.30,83.45,-,1.0,83.40,19,83.45,26,0.00
15,00625K,富邦上証+R,0,0,0,--,--,--,--, ,0.0,8.28,5,8.50,2,0.00
16,00631L,元大台灣50正2,"2,487,815","1,121","366,220,219",147.20,148.70,146.30,146.35,-,3.25,146.35,203,146.40,1,0.00
17,00632R,元大台灣50反1,"167,228,244","7,815","852,994,691",5.11,5.12,5.08,5.11,+,0.04,5.11,"16,867",5.12,"27,843",0.00
18,00633L,富邦上証正2,"3,789,100",928,"196,562,640",51.75,52.55,51.40,51.45,-,0.2,51.45,168,51.50,39,0.00
19,00634R,富邦上証反1,"285,000",33,"1,144,170",4.04,4.05,3.99,4.05,+,0.02,4.04,20,4.05,607,0.00
20,00635U,期元大S&P黃金,"115,058",54,"2,761,643",24.03,24.03,23.98,24.01,-,0.07,24.00,184,24.01,3,0.00
21,00636,國泰中國A50,"727,634",381,"17,733,253",24.39,24.52,24.28,24.30,-,0.06,24.29,1,24.30,9,0.00
22,00636K,國泰中國A50+U,200,2,"1,756",8.78,8.78,8.78,8.78,-,0.08,8.75,10,8.82,10,0.00
23,00637L,元大滬深300正2,"36,161,494","5,477","746,184,150",20.52,20.90,20.42,20.44,-,0.11,20.44,"1,704",20.45,29,0.00
24,00638R,元大滬深300反1,"1,271,000",60,"10,556,110",8.30,8.32,8.23,8.31,+,0.02,8.31,432,8.32,12,0.00
25,00639,富邦深100,"876,028",148,"13,968,211",16.02,16.16,15.84,15.86,-,0.16,15.85,1,15.86,91,0.00
26,00640L,富邦日本正2,"2,059,210",757,"57,763,028",28.30,28.54,27.73,27.75,-,1.7,27.74,22,27.75,110,0.00
