Div,Date,HomeTeam,AwayTeam,FTR,home_tactic,away_tactic,FTHG,FTAG,PSH,PSD,PSA,AveH,AveA,AveH-A,homenamesmapped,awaynamesmapped,hometeamstrength,awayteamstrength,HB,HM,HF,AB,AM,AF
E0,2011-08-13,Blackburn,Wolves,A,,,1,2,,,,,,,,,,,,,,,,
E0,2011-08-13,Fulham,Aston Villa,D,,,0,0,,,,,,,,,,,,,,,,
E0,2011-08-13,Liverpool,Sunderland,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-08-13,Newcastle,Arsenal,D,,,0,0,,,,,,,,,,,,,,,,
E0,2011-08-13,QPR,Bolton,A,,,0,4,,,,,,,,,,,,,,,,
E0,2011-08-13,Wigan,Norwich,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-08-14,Stoke,Chelsea,D,,,0,0,,,,,,,,,,,,,,,,
E0,2011-08-14,West Brom,Man United,A,,,1,2,,,,,,,,,,,,,,,,
E0,2011-08-15,Man City,Swansea,H,,,4,0,,,,,,,,,,,,,,,,
E0,2011-08-20,Swansea,Wigan,D,,,0,0,,,,,,,,,,,,,,,,
E0,2011-08-20,Everton,QPR,A,,,0,1,,,,,,,,,,,,,,,,
E0,2011-08-20,Sunderland,Newcastle,A,,,0,1,,,,,,,,,,,,,,,,
E0,2011-08-20,Aston Villa,Blackburn,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-08-20,Arsenal,Liverpool,A,,,0,2,,,,,,,,,,,,,,,,
E0,2011-08-20,Chelsea,West Brom,H,,,2,1,,,,,,,,,,,,,,,,
E0,2011-08-21,Bolton,Man City,A,,,2,3,,,,,,,,,,,,,,,,
E0,2011-08-21,Norwich,Stoke,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-08-21,Wolves,Fulham,H,,,2,0,,,,,,,,,,,,,,,,
E0,2011-08-22,Man United,Tottenham,H,,,3,0,,,,,,,,,,,,,,,,
E0,2011-08-27,Aston Villa,Wolves,D,,,0,0,,,,,,,,,,,,,,,,
E0,2011-08-27,Blackburn,Everton,A,,,0,1,,,,,,,,,,,,,,,,
E0,2011-08-27,Chelsea,Norwich,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-08-27,Liverpool,Bolton,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-08-27,Swansea,Sunderland,D,,,0,0,,,,,,,,,,,,,,,,
E0,2011-08-27,Wigan,QPR,H,,,2,0,,,,,,,,,,,,,,,,
E0,2011-08-28,West Brom,Stoke,A,,,0,1,,,,,,,,,,,,,,,,
E0,2011-08-28,Tottenham,Man City,A,,,1,5,,,,,,,,,,,,,,,,
E0,2011-08-28,Newcastle,Fulham,H,,,2,1,,,,,,,,,,,,,,,,
E0,2011-08-28,Man United,Arsenal,H,,,8,2,,,,,,,,,,,,,,,,
E0,2011-09-10,Arsenal,Swansea,H,,,1,0,,,,,,,,,,,,,,,,
E0,2011-09-10,Bolton,Man United,A,,,0,5,,,,,,,,,,,,,,,,
E0,2011-09-10,Everton,Aston Villa,D,,,2,2,,,,,,,,,,,,,,,,
E0,2011-09-10,Man City,Wigan,H,,,3,0,,,,,,,,,,,,,,,,
E0,2011-09-10,Stoke,Liverpool,H,,,1,0,,,,,,,,,,,,,,,,
E0,2011-09-10,Sunderland,Chelsea,A,,,1,2,,,,,,,,,,,,,,,,
E0,2011-09-10,Wolves,Tottenham,A,,,0,2,,,,,,,,,,,,,,,,
E0,2011-09-11,Fulham,Blackburn,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-09-11,Norwich,West Brom,A,,,0,1,,,,,,,,,,,,,,,,
E0,2011-09-12,QPR,Newcastle,D,,,0,0,,,,,,,,,,,,,,,,
E0,2011-09-17,Wolves,QPR,A,,,0,3,,,,,,,,,,,,,,,,
E0,2011-09-17,Swansea,West Brom,H,,,3,0,,,,,,,,,,,,,,,,
E0,2011-09-17,Everton,Wigan,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-09-17,Blackburn,Arsenal,H,,,4,3,,,,,,,,,,,,,,,,
E0,2011-09-17,Aston Villa,Newcastle,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-09-17,Bolton,Norwich,A,,,1,2,,,,,,,,,,,,,,,,
E0,2011-09-18,Fulham,Man City,D,,,2,2,,,,,,,,,,,,,,,,
E0,2011-09-18,Man United,Chelsea,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-09-18,Sunderland,Stoke,H,,,4,0,,,,,,,,,,,,,,,,
E0,2011-09-18,Tottenham,Liverpool,H,,,4,0,,,,,,,,,,,,,,,,
E0,2011-09-24,Stoke,Man United,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-09-24,Wigan,Tottenham,A,,,1,2,,,,,,,,,,,,,,,,
E0,2011-09-24,West Brom,Fulham,D,,,0,0,,,,,,,,,,,,,,,,
E0,2011-09-24,Newcastle,Blackburn,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-09-24,Chelsea,Swansea,H,,,4,1,,,,,,,,,,,,,,,,
E0,2011-09-24,Liverpool,Wolves,H,,,2,1,,,,,,,,,,,,,,,,
E0,2011-09-24,Arsenal,Bolton,H,,,3,0,,,,,,,,,,,,,,,,
E0,2011-09-24,Man City,Everton,H,,,2,0,,,,,,,,,,,,,,,,
E0,2011-09-25,QPR,Aston Villa,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-09-26,Norwich,Sunderland,H,,,2,1,,,,,,,,,,,,,,,,
E0,2011-10-01,Aston Villa,Wigan,H,,,2,0,,,,,,,,,,,,,,,,
E0,2011-10-01,Blackburn,Man City,A,,,0,4,,,,,,,,,,,,,,,,
E0,2011-10-01,Everton,Liverpool,A,,,0,2,,,,,,,,,,,,,,,,
E0,2011-10-01,Man United,Norwich,H,,,2,0,,,,,,,,,,,,,,,,
E0,2011-10-01,Sunderland,West Brom,D,,,2,2,,,,,,,,,,,,,,,,
E0,2011-10-01,Wolves,Newcastle,A,,,1,2,,,,,,,,,,,,,,,,
E0,2011-10-02,Tottenham,Arsenal,H,,,2,1,,,,,,,,,,,,,,,,
E0,2011-10-02,Swansea,Stoke,H,,,2,0,,,,,,,,,,,,,,,,
E0,2011-10-02,Fulham,QPR,H,,,6,0,,,,,,,,,,,,,,,,
E0,2011-10-02,Bolton,Chelsea,A,,,1,5,,,,,,,,,,,,,,,,
E0,2011-10-15,Wigan,Bolton,A,,,1,3,,,,,,,,,,,,,,,,
E0,2011-10-15,Chelsea,Everton,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-10-15,Liverpool,Man United,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-10-15,Man City,Aston Villa,H,,,4,1,,,,,,,,,,,,,,,,
E0,2011-10-15,Norwich,Swansea,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-10-15,QPR,Blackburn,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-10-15,Stoke,Fulham,H,,,2,0,,,,,,,,,,,,,,,,
E0,2011-10-16,West Brom,Wolves,H,,,2,0,,,,,,,,,,,,,,,,
E0,2011-10-16,Newcastle,Tottenham,D,,,2,2,,,,,,,,,,,,,,,,
E0,2011-10-16,Arsenal,Sunderland,H,,,2,1,,,,,,,,,,,,,,,,
E0,2011-10-22,Aston Villa,West Brom,A,,,1,2,,,,,,,,,,,,,,,,
E0,2011-10-22,Bolton,Sunderland,A,,,0,2,,,,,,,,,,,,,,,,
E0,2011-10-22,Liverpool,Norwich,D,,,1,1,,,,,,,,,,,,,,,,
E0,2011-10-22,Newcastle,Wigan,H,,,1,0,,,,,,,,,,,,,,,,
E0,2011-10-22,Wolves,Swansea,D,,,2,2,,,,,,,,,,,,,,,,
E0,2011-10-23,QPR,Chelsea,H,,,1,0,,,,,,,,,,,,,,,,
E0,2011-10-23,Arsenal,Stoke,H,,,3,1,,,,,,,,,,,,,,,,
E0,2011-10-23,Blackburn,Tottenham,A,,,1,2,,,,,,,,,,,,,,,,
E0,2011-10-23,Fulham,Everton,A,,,1,3,,,,,,,,,,,,,,,,
E0,2011-10-23,Man United,Man City,A,,,1,6,,,,,,,,,,,,,,,,
E0,2011-10-29,Wigan,Fulham,A,,,0,2,,,,,,,,,,,,,,,,
E0,2011-10-29,West Brom,Liverpool,A,,,0,2,,,,,,,,,,,,,,,,
E0,2011-10-29,Swansea,Bolton,H,,,3,1,,,,,,,,,,,,,,,,
