,date,o,h,l,c,v,cdp_volta
0,2010-01-05,8178,8180,8178,8178,1310,0.0
1,2010-01-06,8322,8323,8320,8320,2352,0.0
2,2010-01-07,8258,8267,8259,8259,2362,0.0015919670000000001
3,2010-01-08,8278,8279,8278,8278,1844,0.017547078
4,2010-01-11,8322,8325,8321,8321,1724,-0.0068509619999999995
5,2010-01-12,8310,8311,8308,8308,1284,0.0023610610000000002
6,2010-01-13,8215,8218,8215,8215,2402,0.005436096
7,2010-01-14,8300,8302,8301,8301,1816,-0.001382045
8,2010-01-15,8366,8369,8366,8369,2146,-0.011013481
9,2010-01-18,8351,8353,8352,8353,1932,0.010529519
10,2010-01-19,8268,8272,8270,8270,1946,0.008101434
11,2010-01-21,8136,8137,8132,8132,1916,-0.00194169
12,2010-01-22,7900,7900,7896,7896,2250,-0.009816832
13,2010-01-25,7851,7854,7852,7852,1540,-0.016384522
14,2010-01-27,7537,7538,7534,7534,1216,-0.028775209
15,2010-01-28,7694,7700,7697,7697,2206,-0.005445795
16,2010-01-29,7584,7585,7578,7578,1512,-0.040244524
17,2010-02-01,7509,7513,7510,7513,1492,0.021834351000000002
18,2010-02-02,7373,7376,7372,7372,1662,-0.015005846000000002
19,2010-02-03,7502,7503,7501,7501,1276,-0.008676432
20,2010-02-04,7504,7508,7507,7507,1148,-0.018501264
21,2010-02-05,7202,7205,7201,7201,1754,0.017634292
22,2010-02-06,7159,7159,7155,7155,1638,0.000866551
23,2010-02-08,7164,7165,7160,7160,1234,-0.040495537000000005
24,2010-02-09,7316,7318,7316,7316,1492,-0.006110261999999999
25,2010-02-10,7410,7420,7418,7418,2010,0.001048218
26,2010-02-23,7540,7542,7535,7535,1564,0.021927374
27,2010-02-24,7482,7483,7480,7480,1254,0.014078732
28,2010-02-25,7371,7372,7367,7367,2128,0.016244271
29,2010-02-26,7384,7386,7383,7383,1206,-0.007100199000000001
30,2010-03-01,7570,7575,7571,7575,2196,-0.014772727
31,2010-03-02,7598,7602,7599,7599,1490,0.002375458
32,2010-03-03,7611,7615,7611,7611,1518,0.025870242
33,2010-03-04,7528,7529,7526,7526,1604,0.003366337
34,2010-03-05,7654,7660,7659,7659,1856,0.001842348
35,2010-03-08,7755,7758,7755,7755,1638,-0.010970963
36,2010-03-09,7763,7766,7764,7764,1164,0.017738507
37,2010-03-10,7769,7771,7769,7769,1214,0.012730121
38,2010-03-11,7758,7760,7757,7757,1758,0.001289491
39,2010-03-12,7751,7754,7753,7753,1308,0.000772798
40,2010-03-15,7655,7657,7655,7655,1944,-0.001351525
41,2010-03-16,7704,7707,7703,7703,1374,-0.000451205
42,2010-03-18,7849,7852,7851,7852,1588,-0.012511286000000002
43,2010-03-19,7869,7869,7867,7867,1268,0.006531679
44,2010-03-22,7806,7807,7802,7802,1676,0.019310658
45,2010-03-23,7805,7807,7804,7804,1616,0.002037697
46,2010-03-24,7814,7816,7815,7815,1942,-0.007944579
47,2010-03-25,7815,7815,7806,7806,2368,0.00044860300000000006
48,2010-03-26,7880,7887,7886,7886,2374,0.001473603
49,2010-03-29,7956,7957,7955,7957,2220,-0.0005758159999999999
50,2010-03-30,7960,7961,7960,7961,1574,0.01031258
51,2010-03-31,7908,7910,7906,7906,1686,0.008939893
52,2010-04-01,8024,8026,8025,8025,1990,0.000471283
53,2010-04-02,8037,8039,8038,8039,1552,-0.006657455
54,2010-04-06,8095,8097,8096,8096,1432,0.015115102
55,2010-04-07,8124,8126,8125,8125,1290,0.001713396
56,2010-04-08,8079,8085,8081,8081,2336,0.007152631
57,2010-04-09,8099,8101,8098,8101,1700,0.003643775
58,2010-04-12,8128,8128,8126,8126,1394,-0.005169231
59,2010-04-13,8019,8021,8019,8019,2094,0.002382131
60,2010-04-14,8110,8114,8112,8112,2410,0.00320948
61,2010-04-15,8165,8166,8158,8158,1874,-0.013044548000000001
62,2010-04-16,8104,8105,8104,8105,1838,0.01172216
63,2010-04-19,7828,7829,7822,7822,2800,0.006163708
64,2010-04-20,7880,7881,7876,7876,1602,-0.006527335
65,2010-04-22,7924,7925,7923,7923,1912,-0.034484886
66,2010-04-23,7959,7961,7959,7959,1642,0.007223217
67,2010-04-26,8146,8148,8145,8145,2054,0.006094464
68,2010-04-27,8130,8131,8130,8130,1012,0.004669948
69,2010-04-28,8037,8038,8035,8035,1926,0.023558236
70,2010-04-29,8043,8045,8043,8043,1708,-0.001780233
71,2010-04-30,7988,7992,7989,7989,2328,-0.011500615
72,2010-05-03,7932,7934,7932,7934,1286,0.0011201
73,2010-05-04,7886,7886,7880,7880,2294,-0.006527415
74,2010-05-05,7654,7660,7659,7659,2182,-0.006947052
75,2010-05-06,7574,7583,7579,7579,2708,-0.006428031
76,2010-05-07,7505,7506,7502,7502,2276,-0.027982233999999998
77,2010-05-10,7635,7638,7637,7637,2212,-0.010184097
78,2010-05-11,7571,7573,7568,7568,1988,-0.009895765
79,2010-05-12,7586,7588,7587,7587,2056,0.01806185
80,2010-05-13,7766,7767,7761,7761,2946,-0.008707608
81,2010-05-14,7756,7760,7756,7760,1816,0.002576638
82,2010-05-17,7602,7604,7602,7602,2060,0.023329379
83,2010-05-18,7614,7620,7619,7619,1394,-0.000257699
84,2010-05-20,7365,7368,7356,7356,2656,-0.020231959
85,2010-05-21,7205,7210,7209,7209,2074,0.002302026
86,2010-05-24,7275,7278,7274,7274,1862,-0.033731461000000004
87,2010-05-25,7053,7054,7052,7052,2136,-0.019915715
88,2010-05-26,7124,7126,7122,7122,2230,0.009293938
89,2010-05-27,7199,7203,7202,7202,2172,-0.030382182999999997
90,2010-05-28,7276,7282,7280,7280,2814,0.01020987
91,2010-05-31,7327,7328,7325,7325,1738,0.011303005
92,2010-06-01,7242,7246,7243,7243,1778,0.010969175
93,2010-06-02,7139,7143,7140,7140,2316,0.006387363
94,2010-06-03,7339,7341,7338,7338,3350,-0.010989761
95,2010-06-04,7319,7321,7319,7321,1848,-0.01401353
96,2010-06-07,7097,7100,7097,7097,2598,0.027941176
97,2010-06-08,7126,7133,7129,7129,1998,-0.002384846
98,2010-06-09,7035,7041,7038,7038,2172,-0.030392022999999997
99,2010-06-10,7162,7164,7163,7163,2888,0.0047907570000000005
100,2010-06-11,7292,7294,7293,7293,2370,-0.012554355
101,2010-06-14,7388,7389,7383,7383,2526,0.01783177
102,2010-06-15,7458,7459,7458,7459,1742,0.018218623
103,2010-06-18,7350,7352,7349,7352,1690,0.012751954
104,2010-06-21,7522,7524,7523,7523,1938,0.010260057
105,2010-06-22,7483,7483,7481,7481,1584,-0.014445636000000001
106,2010-06-23,7432,7437,7435,7437,1850,0.023326986
107,2010-06-24,7429,7431,7426,7426,1482,-0.0054499530000000004
108,2010-06-25,7320,7324,7322,7324,2190,-0.0059484030000000005
109,2010-06-28,7361,7368,7362,7362,2012,-0.001142934
110,2010-06-29,7252,7257,7252,7252,2848,-0.013802855
111,2010-06-30,7152,7155,7153,7153,1830,0.005598034
112,2010-07-01,7098,7106,7101,7101,2702,-0.01460201
113,2010-07-02,7160,7166,7165,7165,1906,-0.013513513999999999
114,2010-07-05,7321,7325,7324,7324,3172,-0.006920173000000001
115,2010-07-06,7457,7457,7456,7456,3124,0.009083228
116,2010-07-07,7449,7451,7447,7447,1554,0.022260991
117,2010-07-08,7536,7538,7532,7532,1766,0.018091206999999998
118,2010-07-09,7568,7569,7566,7566,2956,-0.000938841
119,2010-07-12,7531,7533,7529,7533,2454,0.011816838999999999
120,2010-07-13,7558,7560,7558,7560,2118,0.004713224
121,2010-07-14,7699,7703,7702,7703,2524,-0.004493788
122,2010-07-15,7707,7709,7707,7707,1638,0.003517855
123,2010-07-16,7669,7673,7669,7669,2462,0.018882275
124,2010-07-19,7658,7659,7657,7659,2062,0.0006490980000000001
