,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,0050,元大台灣50,"32,475,644","53,966","4,649,317,826",143.90,143.95,142.30,142.65,X,0.0,142.65,22,142.70,45,0.00
1,0051,元大中型100,"118,216",231,"7,039,300",60.05,60.05,59.30,59.35,-,0.9,59.30,18,59.35,2,0.00
2,0052,富邦科技,"435,789",545,"58,499,374",134.95,135.15,133.65,133.90,-,3.1,133.90,2,134.15,27,0.00
3,0053,元大電子,"9,113",14,"631,887",69.60,69.60,69.25,69.35,-,1.15,68.95,1,69.15,1,0.00
4,0054,元大台商50,"6,000",2,"185,750",31.00,31.00,30.75,30.75,-,0.25,30.49,22,30.71,8,0.00
5,0055,元大MSCI金融,"2,547,398","2,379","64,684,323",25.65,25.65,25.30,25.32,-,0.5,25.32,25,25.33,49,0.00
6,0056,元大高股息,"45,772,132","32,338","1,506,178,052",33.14,33.14,32.80,32.84,-,0.52,32.84,268,32.85,91,0.00
7,0057,富邦摩台,"33,000",9,"3,293,900",100.30,100.30,99.35,99.50,-,2.25,99.50,9,99.80,25,0.00
8,0061,元大寶滬深,"230,233",94,"5,159,385",22.52,22.52,22.30,22.30,-,0.21,22.26,6,22.30,4,0.00
9,006203,元大MSCI台灣,"14,430",20,"982,705",68.20,68.50,67.90,68.05,X,0.0,67.95,1,68.05,34,0.00
10,006204,永豐臺灣加權,"20,504",30,"1,835,082",90.00,90.00,89.30,89.30,-,2.1,89.30,50,89.55,25,0.00
11,006205,富邦上証,"1,317,222",189,"48,327,510",36.84,36.84,36.56,36.57,-,0.27,36.60,25,36.62,117,0.00
12,006206,元大上證50,"133,808",55,"4,750,551",35.60,35.70,35.39,35.44,-,0.24,35.38,1,35.52,36,0.00
13,006207,FH滬深,"383,000",53,"11,277,690",29.43,29.61,29.30,29.30,-,0.43,29.30,3,29.32,20,0.00
14,006208,富邦台50,"5,489,673","11,470","451,232,992",82.60,82.65,81.85,82.00,-,1.75,81.95,207,82.00,4,0.00
15,00625K,富邦上証+R,0,0,0,--,--,--,--, ,0.0,8.33,5,8.55,2,0.00
16,00631L,元大台灣50正2,"3,504,831","2,094","499,371,171",143.85,144.15,141.00,141.45,-,6.05,141.45,79,141.50,15,0.00
17,00632R,元大台灣50反1,"241,335,355","12,571","1,250,175,170",5.16,5.21,5.15,5.19,+,0.1,5.19,"14,473",5.20,"15,002",0.00
18,00633L,富邦上証正2,"6,538,773","1,027","348,321,560",53.70,53.90,52.80,52.95,-,0.6,52.90,14,52.95,54,0.00
19,00634R,富邦上証反1,"462,000",55,"1,839,080",4.05,4.05,3.95,3.98,+,0.02,3.98,459,4.00,521,0.00
20,00635U,期元大S&P黃金,"558,163",186,"13,598,428",24.35,24.42,24.32,24.40,+,0.05,24.40,16,24.41,114,0.00
21,00636,國泰中國A50,"671,802",225,"16,648,771",24.74,24.89,24.65,24.67,-,0.14,24.65,130,24.68,3,0.00
